date,company,ipo_open
12/30/10,Punjab & Sind,146.1
12/23/10,A2Z Infra Eng,390
12/20/10,Claris Life,224.4
12/15/10,MOIL,551
6/12/10,RPP Infra Proj,75
11/16/10,Gravita India,218.75
4/11/10,Coal India,300
10/27/10,Gyscoal Alloys,76.6
10/27/10,BS Limited,251
10/27/10,Prestige Estate,190
10/20/10,Oberoi Realty,280
10/18/10,Jupiter Wagons,122.8
10/14/10,Ashoka Buildcon,333.55
10/14/10,Sea TV Network,120
10/14/10,Bedmutha Ind,114.4
10/13/10,Va Tech Wabag,1655
12/10/10,Cantabil Retail,133.8
12/10/10,Tecpro Systems,399.4
8/10/10,Orient Green,45.7
8/10/10,Ramky Infra,450
8/10/10,Electrosteel St,11.15
6/10/10,Career Point,461
6/10/10,Eros Intl,213.55
5/10/10,Sasta Sundar,135.1
1/10/10,Tirupati Inks,53.95
9/29/10,Indosolar,29.75
9/9/10,Gujarat Pipavav,56.25
8/25/10,Prakash Steelag,118.55
8/18/10,Bajaj Consumer,730
8/16/10,Bharat Fin,1036
7/28/10,Shri Aster,127.7
7/21/10,Hindustan Media,177.95
7/16/10,Technofab Engg,265
1/7/10,Parabolic Drugs,76
5/21/10,Jaypee Infra,98
5/20/10,SJVN,27.1
5/19/10,GB Global,131
5/18/10,Tarapur Trans,75
5/13/10,NEL HOLDINGS SO,50
10/5/10,Talwalkars Fitn,138
4/16/10,Goenka Diamond,130
12/4/10,Intrasoft Tech,140
9/4/10,Shree Ganesh,258.85
6/4/10,Persistent,400
5/4/10,Pradip Overseas,120
3/30/10,ILandFS Trans,287
3/29/10,DQ Entertain,135
3/18/10,United Bank,77
11/3/10,Man Infra,335
10/3/10,Texmo Pipes,92.8
3/3/10,ARSS Infra,640
2/25/10,Hathway Cable,246
2/25/10,DB Realty,452.1
2/24/10,Emmbi Ind,46
2/23/10,Aqua Logistics,225
2/19/10,Thangamayil,70
2/15/10,Syncom Health,88
2/15/10,Vascon Engineer,155.9
8/2/10,Jubilant Food,160
3/2/10,Infinite Comp,178.35