ticker,date,company name,industry,sector,exchange
CLW,5-Dec-08,Clearwater Paper Corporation,Forest Products,Basic Materials,New York Stock Exchange
LOPE,20-Nov-08,Grand Canyon Education Inc.,Education,Consumer Defensive,Nasdaq Global Select
MHH,19-Nov-08,Mastech Digital Inc,Employment Services,Industrials,NYSE American
EBR,19-Nov-08,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one),Utilities - Regulated,Utilities,New York Stock Exchange
XTLB,18-Nov-08,XTL Biopharmaceuticals Ltd.,Biotechnology,Healthcare,NASDAQ Capital Market
DFFN,5-Nov-08,Diffusion Pharmaceuticals Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
DMRC,17-Oct-08,Digimarc Corporation,Application Software,Technology,Nasdaq Global Select
HBCP,8-Oct-08,Home Bancorp Inc.,Banks,Financial Services,Nasdaq Global Select
FSFG,8-Oct-08,First Savings Financial Group Inc.,Banks,Financial Services,NASDAQ Capital Market
EC,18-Sep-08,Ecopetrol S.A. American Depositary Shares,Oil & Gas - Integrated,Energy,New York Stock Exchange
HCI,15-Sep-08,HCI Group Inc.,Insurance - Property & Casualty,Financial Services,New York Stock Exchange
CPHC,8-Sep-08,Canterbury Park Holding Corporation,Travel & Leisure,Consumer Cyclical,NASDAQ Global Market
IBIO,19-Aug-08,iBio Inc.,Biotechnology,Healthcare,NYSE American
WPRT,15-Aug-08,Westport Fuel Systems Inc,Autos,Consumer Cyclical,Nasdaq Global Select
GSL,15-Aug-08,Global Ship Lease Inc New Class A,Transportation & Logistics,Industrials,New York Stock Exchange
MYRG,13-Aug-08,MYR Group Inc.,Engineering & Construction,Industrials,Nasdaq Global Select
TREE,12-Aug-08,LendingTree Inc.,Banks,Financial Services,Nasdaq Global Select
PRIM,6-Aug-08,Primoris Services Corporation,Engineering & Construction,Industrials,Nasdaq Global Select
DL,30-Jul-08,China Distance Education Holdings Limited American Depositary Shares,Education,Consumer Defensive,New York Stock Exchange
URG,25-Jul-08,Ur-Energy Inc (Canada),Metals & Mining,Basic Materials,NYSE American
JBT,23-Jul-08,John Bean Technologies Corporation,Industrial Products,Industrials,New York Stock Exchange
EVK,16-Jul-08,Ever-Glory International Group Inc.,Manufacturing - Apparel & Furniture,Consumer Cyclical,NASDAQ Global Market
ERII,2-Jul-08,Energy Recovery Inc.,Industrial Products,Industrials,Nasdaq Global Select
FTFT,26-Jun-08,Future FinTech Group Inc.,Beverages - Non-Alcoholic,Consumer Defensive,NASDAQ Capital Market
BTG,26-Jun-08,B2Gold Corp (Canada),Metals & Mining,Basic Materials,NYSE American
ALO,26-Jun-08,Alio Gold Inc. (Canada),Metals & Mining,Basic Materials,NYSE American
CDXC,25-Jun-08,ChromaDex Corporation,Biotechnology,Healthcare,NASDAQ Capital Market
CRHM,24-Jun-08,CRH Medical Corporation of Beneficial Interest,Medical Instruments & Equipment,Healthcare,NYSE American
HPJ,19-Jun-08,Highpower International Inc,Computer Hardware,Technology,NASDAQ Global Market
OCSL,12-Jun-08,Oaktree Specialty Lending Corporation,Credit Services,Financial Services,Nasdaq Global Select
BKJ,3-Jun-08,Bancorp of New Jersey Inc,Banks,Financial Services,NYSE American
SB,30-May-08,Safe Bulkers Inc ($0.001 par value),Transportation & Logistics,Industrials,New York Stock Exchange
HMTA,23-May-08,HomeTown Bankshares Corporation,Banks,Financial Services,NASDAQ Capital Market
SINO,21-May-08,Sino-Global Shipping America Ltd.,Transportation & Logistics,Industrials,NASDAQ Capital Market
MLVF,21-May-08,Malvern Bancorp Inc.,Banks,Financial Services,NASDAQ Global Market
AGNC,15-May-08,AGNC Investment Corp.,REITs,Real Estate,Nasdaq Global Select
CFX,8-May-08,Colfax Corporation,Industrial Products,Industrials,New York Stock Exchange
KDP,7-May-08,Keurig Dr Pepper Inc.,Beverages - Non-Alcoholic,Consumer Defensive,New York Stock Exchange
MHLD,6-May-08,Maiden Holdings Ltd.,Insurance - Specialty,Financial Services,Nasdaq Global Select
AWK,23-Apr-08,American Water Works Company Inc.,Utilities - Regulated,Utilities,New York Stock Exchange
IPI,22-Apr-08,Intrepid Potash Inc,Agriculture,Basic Materials,New York Stock Exchange
CGA,16-Apr-08,China Green Agriculture Inc.,Agriculture,Basic Materials,New York Stock Exchange
SGOC,9-Apr-08,SGOCO Group Ltd,Computer Hardware,Technology,NASDAQ Capital Market
HGSH,1-Apr-08,China HGS Real Estate Inc.,Real Estate Services,Real Estate,NASDAQ Capital Market
HI,28-Mar-08,Hillenbrand Inc,Industrial Products,Industrials,New York Stock Exchange
IRDM,20-Mar-08,Iridium Communications Inc,Communication Services,Communication Services,Nasdaq Global Select
V,19-Mar-08,Visa Inc.,Credit Services,Financial Services,New York Stock Exchange
BEAT,19-Mar-08,BioTelemetry Inc.,Medical Diagnostics & Research,Healthcare,Nasdaq Global Select
PM,17-Mar-08,Philip Morris International Inc,Tobacco Products,Consumer Defensive,New York Stock Exchange
SLS,12-Mar-08,SELLAS Life Sciences Group Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
HCCI,12-Mar-08,Heritage-Crystal Clean Inc.,Industrial Products,Industrials,Nasdaq Global Select
GLBS,11-Mar-08,Globus Maritime Limited,Transportation & Logistics,Industrials,NASDAQ Capital Market
BPTH,4-Mar-08,Bio-Path Holdings Inc.,Drug Manufacturers,Healthcare,NASDAQ Capital Market
SRCI,28-Feb-08,SRC Energy Inc.,Oil & Gas - E&P,Energy,NYSE American
CBPO,31-Jan-08,China Biologic Products Holdings Inc.,Biotechnology,Healthcare,Nasdaq Global Select
SHIP,30-Jan-08,Seanergy Maritime Holdings Corp,Transportation & Logistics,Industrials,NASDAQ Capital Market
SOL,29-Jan-08,Renesola Ltd. ADR,Semiconductors,Technology,New York Stock Exchange
MOFG,29-Jan-08,MidWestOne Financial Group Inc.,Banks,Financial Services,Nasdaq Global Select
ISDR,23-Jan-08,Issuer Direct Corporation,Application Software,Technology,NYSE American
EBSB,23-Jan-08,Meridian Bancorp Inc.,Banks,Financial Services,Nasdaq Global Select
IDEX,16-Jan-08,Ideanomics Inc.,Application Software,Technology,NASDAQ Capital Market
BIP,10-Jan-08,Brookfield Infrastructure Partners LP Limited Partnership Units,Utilities - Regulated,Utilities,New York Stock Exchange
SFBC,9-Jan-08,Sound Financial Bancorp Inc.,Banks,Financial Services,NASDAQ Capital Market
SATS,2-Jan-08,EchoStar Corporation,Communication Equipment,Technology,Nasdaq Global Select
FLNT,2-Jan-08,Fluent Inc.,Advertising & Marketing Services,Consumer Cyclical,NASDAQ Global Market
DAN,2-Jan-08,Dana Incorporated,Autos,Consumer Cyclical,New York Stock Exchange